,month,interest,principal,loan balance,total_interest,monthly_payment
72,73.0,614.82,701.59,281059.6699999999,48706.010000000024,1316.41
73,74.0,613.28,703.13,280358.0799999999,49319.29000000002,1316.41
74,75.0,611.75,704.66,279654.9499999999,49931.04000000002,1316.41
75,76.0,610.2,706.21,278950.2899999999,50541.24000000002,1316.41
76,77.0,608.66,707.75,278244.0799999999,51149.90000000002,1316.41
77,78.0,607.11,709.3,277536.3299999999,51757.010000000024,1316.41
78,79.0,605.56,710.85,276827.0299999999,52362.57000000002,1316.41
79,80.0,604.0,712.41,276116.17999999993,52966.57000000002,1316.41
80,81.0,602.45,713.96,275403.76999999996,53569.02000000002,1316.41
81,82.0,600.88,715.53,274689.80999999994,54169.900000000016,1316.41
82,83.0,599.32,717.09,273974.2799999999,54769.220000000016,1316.41
83,84.0,597.75,718.66,273257.1899999999,55366.970000000016,1316.41
84,85.0,596.18,720.23,272538.5299999999,55963.150000000016,1316.41
85,86.0,594.6,721.81,271818.29999999993,56557.750000000015,1316.41
86,87.0,593.02,723.39,271096.48999999993,57150.77000000001,1316.41
87,88.0,591.44,724.97,270373.0999999999,57742.210000000014,1316.41
88,89.0,589.86,726.55,269648.12999999995,58332.070000000014,1316.41
89,90.0,588.27,728.14,268921.57999999996,58920.34000000001,1316.41
90,91.0,586.67,729.74,268193.43999999994,59507.01000000001,1316.41
91,92.0,585.08,731.33,267463.69999999995,60092.09000000001,1316.41
92,93.0,583.48,732.93,266732.36999999994,60675.570000000014,1316.41
93,94.0,581.87,734.54,265999.43999999994,61257.44000000002,1316.41
94,95.0,580.27,736.14,265264.89999999997,61837.710000000014,1316.41
95,96.0,578.66,737.75,264528.75999999995,62416.37000000002,1316.41
96,97.0,577.04,739.37,263791.00999999995,62993.41000000002,1316.41
97,98.0,575.43,740.98,263051.63999999996,63568.84000000002,1316.41
98,99.0,573.8,742.61,262310.66,64142.64000000002,1316.41
99,100.0,572.18,744.23,261568.05,64714.82000000002,1316.41
100,101.0,570.55,745.86,260823.81999999998,65285.370000000024,1316.41
101,102.0,568.92,747.49,260077.96,65854.29000000002,1316.41
102,103.0,567.29,749.12,259330.47,66421.58000000002,1316.41
103,104.0,565.65,750.76,258581.35,66987.23000000001,1316.41
104,105.0,564.0,752.41,257830.59,67551.23000000001,1316.41
105,106.0,562.36,754.05,257078.18,68113.59000000001,1316.41
106,107.0,560.71,755.7,256324.13,68674.30000000002,1316.41
107,108.0,559.06,757.35,255568.43,69233.36000000002,1316.41
108,109.0,557.4,759.01,254811.08,69790.76000000001,1316.41
109,110.0,555.74,760.67,254052.06999999998,70346.50000000001,1316.41
110,111.0,554.07,762.34,253291.39999999997,70900.57000000002,1316.41
111,112.0,552.41,764.0,252529.05999999997,71452.98000000003,1316.41
112,113.0,550.74,765.67,251765.05999999997,72003.72000000003,1316.41
113,114.0,549.06,767.35,250999.38999999996,72552.78000000003,1316.41
114,115.0,547.38,769.03,250232.03999999995,73100.16000000003,1316.41
115,116.0,545.7,770.71,249463.00999999995,73645.86000000003,1316.41
116,117.0,544.01,772.4,248692.29999999996,74189.87000000002,1316.41
117,118.0,542.32,774.09,247919.89999999997,74732.19000000003,1316.41
118,119.0,540.63,775.78,247145.80999999997,75272.82000000004,1316.41
119,120.0,538.93,777.48,246370.02999999997,75811.75000000003,1316.41
120,121.0,537.23,779.18,245592.54999999996,76348.98000000003,1316.41
121,122.0,535.53,780.88,244813.36999999997,76884.51000000002,1316.41
122,123.0,533.82,782.59,244032.48999999996,77418.33000000003,1316.41
123,124.0,532.11,784.3,243249.89999999997,77950.44000000003,1316.41
124,125.0,530.39,786.02,242465.59999999998,78480.83000000003,1316.41
125,126.0,528.67,787.74,241679.58,79009.50000000003,1316.41
126,127.0,526.95,789.46,240891.84,79536.45000000003,1316.41
127,128.0,525.22,791.19,240102.38,80061.67000000003,1316.41
128,129.0,523.49,792.92,239311.19,80585.16000000003,1316.41
129,130.0,521.76,794.65,238518.27,81106.92000000003,1316.41
130,131.0,520.02,796.39,237723.62,81626.94000000003,1316.41
131,132.0,518.28,798.13,236927.22999999998,82145.22000000003,1316.41
132,133.0,516.53,799.88,236129.09999999998,82661.75000000003,1316.41
133,134.0,514.78,801.63,235329.21999999997,83176.53000000003,1316.41
134,135.0,513.03,803.38,234527.58999999997,83689.56000000003,1316.41
135,136.0,511.27,805.14,233724.20999999996,84200.83000000003,1316.41
136,137.0,509.51,806.9,232919.06999999995,84710.34000000003,1316.41
137,138.0,507.75,808.66,232112.16999999995,85218.09000000003,1316.41
138,139.0,505.98,810.43,231303.50999999995,85724.07000000002,1316.41
139,140.0,504.2,812.21,230493.07999999996,86228.27000000002,1316.41
140,141.0,502.43,813.98,229680.86999999997,86730.70000000001,1316.41
141,142.0,500.65,815.76,228866.88999999996,87231.35,1316.41
142,143.0,498.86,817.55,228051.12999999995,87730.21,1316.41
143,144.0,497.07,819.34,227233.57999999996,88227.28000000001,1316.41
144,145.0,495.28,821.13,226414.23999999996,88722.56000000001,1316.41
145,146.0,493.48,822.93,225593.10999999996,89216.04000000001,1316.41
146,147.0,491.68,824.73,224770.17999999996,89707.72,1316.41
147,148.0,489.88,826.53,223945.44999999995,90197.6,1316.41
148,149.0,488.07,828.34,223118.91999999995,90685.67000000001,1316.41
149,150.0,486.26,830.15,222290.57999999996,91171.93000000001,1316.41
150,151.0,484.44,831.97,221460.42999999996,91656.37000000001,1316.41
151,152.0,482.62,833.79,220628.45999999996,92138.99,1316.41
152,153.0,480.8,835.61,219794.66999999995,92619.79000000001,1316.41
153,154.0,478.97,837.44,218959.05999999997,93098.76000000001,1316.41
154,155.0,477.14,839.27,218121.61999999997,93575.90000000001,1316.41
155,156.0,475.31,841.1,217282.34999999998,94051.21,1316.41
156,157.0,473.47,842.94,216441.24999999997,94524.68000000001,1316.41
157,158.0,471.62,844.79,215598.30999999997,94996.3,1316.41
158,159.0,469.77,846.64,214753.51999999996,95466.07,1316.41
159,160.0,467.92,848.49,213906.87999999995,95933.99,1316.41
160,161.0,466.07,850.34,213058.38999999996,96400.06000000001,1316.41
161,162.0,464.21,852.2,212208.04999999996,96864.27000000002,1316.41
162,163.0,462.34,854.07,211355.84999999995,97326.61000000002,1316.41
